Category,Subtitle,Name,Description,Price,Tags
TANGLED & TASTY,NOODLES,VEG CHILLI GARLIC NOODLE,"Noodles, capsicum in garlic-chili paste, tomato ketchup flavored with chopped garlic, mildly spicy.",175,"Veg, Chilli"
TANGLED & TASTY,NOODLES,MIXED SCHEZWAN NOODLE,"Noodles with carrot, cabbage, capsicum & dry red chilli in spicy Schezwan and house chili sauce.",255,"Non-veg, Chilli"
TANGLED & TASTY,NOODLES,CHICKEN SCHEZWAN NOODLE,"Noodles with carrot, cabbage, capsicum & dry red chilli in spicy Schezwan and house chili sauce.",225,"Non-veg, Chilli"
TANGLED & TASTY,NOODLES,VEG SCHEZWAN NOODLE,"Noodles with carrot, cabbage, capsicum & dry red chilli in spicy Schezwan and house chili sauce.",175,"Veg, Chilli"
TANGLED & TASTY,NOODLES,MIXED CANTONESE GRAVY NOODLE,Tender boiled noodles in savory white sauce with assorted vegetables.,265,Non-veg
TANGLED & TASTY,NOODLES,CHICKEN CANTONESE GRAVY NOODLE,Tender boiled noodles in savory white sauce with assorted vegetables.,235,Non-veg
TANGLED & TASTY,NOODLES,VEG CANTONESE GRAVY NOODLE,Tender boiled noodles in savory white sauce with assorted vegetables.,185,veg
WOK WONDERS,NON VEG GRAVY,CHICKEN MANCHURIAN,"Coated sliced boneless chunks tossed in dark soya, chilli sauce and oyster sauce.",299,Non-veg
WOK WONDERS,NON VEG GRAVY,FISH MANCHURIAN,"Coated sliced boneless chunks tossed in dark soya, chilli sauce and oyster sauce.",369,Non-veg
WOK WONDERS,NON VEG GRAVY,PRAWN MANCHURIAN,"Coated sliced boneless chunks tossed in dark soya, chilli sauce and oyster sauce.",409,Non-veg
WOK WONDERS,NON VEG GRAVY,CHICKEN CHILLI,"Coated boneless chunks tossed in garlic, onion, chillies, soy sauce, tomato and chilli sauce.",289,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,FISH CHILLI,"Coated boneless chunks tossed in garlic, onion, chillies, soy sauce, tomato and chilli sauce.",359,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,PRAWN CHILLI,"Coated boneless chunks tossed in garlic, onion, chillies, soy sauce, tomato and chilli sauce.",399,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,CHICKEN HOT GARLIC,"Coated boneless chunks tossed in sauteed garlic, tomato sauce and house chilli sauce.",305,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,FISH HOT GARLIC,"Coated boneless chunks tossed in sauteed garlic, tomato sauce and house chilli sauce.",375,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,PRAWN HOT GARLIC,"Coated boneless chunks tossed in sauteed garlic, tomato sauce and house chilli sauce.",415,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,CHICKEN HUNAN,Batter fried boneless chunks in savoury and mildly spicy cantonese gravy garnish with chili flakes.,299,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,FISH HUNAN,Batter fried boneless chunks in savoury and mildly spicy cantonese gravy garnish with chili flakes.,369,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,PRAWN HUNAN,Batter fried boneless chunks in savoury and mildly spicy cantonese gravy garnish with chili flakes.,409,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,CHICKEN SCHEZWAN,"Coated cubed boneless chunks tossed in oyster sauce, light soya, flavoured with wine (non-alcoholic) and schezwan pepper.",305,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,FISH SCHEZWAN,"Coated cubed boneless chunks tossed in oyster sauce, light soya, flavoured with wine (non-alcoholic) and schezwan pepper.",375,"Non-veg, Chilli"
